Username,Freq(11pm-6am),Freq(6am-11pm),Total Freq
94,Custardcuppcake,2.0,1.0,3.0
95,Sarilec,1.0,0.0,1.0
96,CandyWWGM,2.0,0.0,2.0
97,Thatsumbs,0.0,1.0,1.0
98,karinwinters,0.0,1.0,1.0
99,kirstenlea,0.0,1.0,1.0
100,carleen4689,0.0,1.0,1.0
101,labebita86,0.0,1.0,1.0
102,JiMpiSh,0.0,2.0,2.0
103,PYNTK,1.0,0.0,1.0
104,Pauluz,0.0,1.0,1.0
105,llShesADoLLll,0.0,1.0,1.0
106,RoiuhlteeMinaj,0.0,1.0,1.0
107,what_bugs_u,2.0,7.0,9.0
108,krissy90220,1.0,0.0,1.0
109,alvinmsss,1.0,0.0,1.0
110,jhende02,0.0,1.0,1.0
111,chengsophia,0.0,1.0,1.0
112,glamorousamanda,0.0,1.0,1.0
113,treske71,0.0,1.0,1.0
114,Lia_arch_angel,1.0,0.0,1.0
115,kennedypeytonxo,0.0,1.0,1.0
116,okkaba2000,1.0,0.0,1.0
117,marymidgetmack,0.0,1.0,1.0
118,yorlenysolera,1.0,0.0,1.0
119,Hell_With_An_ER,0.0,1.0,1.0
120,gigglesalot,0.0,1.0,1.0
121,ries1973,0.0,1.0,1.0
122,jrmozart,1.0,0.0,1.0
123,elailabsyou,1.0,0.0,1.0
124,JaymesTerence,0.0,1.0,1.0
125,xllbabycllx,1.0,0.0,1.0
126,imanwilliams,1.0,2.0,3.0
127,Owais_Iqbal,1.0,0.0,1.0
128,iamcassiedavis,1.0,0.0,1.0
129,xXxSairxXx,1.0,0.0,1.0
130,jananis,1.0,0.0,1.0
131,khrystar,1.0,0.0,1.0
132,lovveeduckies,0.0,1.0,1.0
133,alexcubla,0.0,1.0,1.0
134,KidLosoLIVE,0.0,1.0,1.0
135,YaniTseng,1.0,0.0,1.0
136,AceBlack,3.0,2.0,5.0
137,Selenia06,0.0,1.0,1.0
138,daffyddturner,0.0,1.0,1.0
139,ryanmathieson,1.0,0.0,1.0
140,DianeGilabert,0.0,1.0,1.0
141,fa_jen2004,0.0,1.0,1.0
142,sagarun,0.0,1.0,1.0
143,AHDirector,1.0,0.0,1.0
144,mystatus_update,0.0,2.0,2.0
145,KirseeR,1.0,0.0,1.0
146,rahuljrark,1.0,0.0,1.0
147,Lovellama,0.0,1.0,1.0
148,sarah_trotter,1.0,0.0,1.0
149,robyoungrob,1.0,0.0,1.0
150,geechee_girl,1.0,1.0,2.0
151,ColleenCoplick,0.0,1.0,1.0
152,razzmatazz459,0.0,1.0,1.0
153,ajafair,0.0,1.0,1.0
154,lexxisahandfull,0.0,1.0,1.0
155,ReidPowell,0.0,1.0,1.0
156,Esticadinha,1.0,0.0,1.0
157,Scholtzzz,1.0,0.0,1.0
158,confusedkate,0.0,1.0,1.0
159,roukedejong,1.0,0.0,1.0
160,KathrynHallPR,0.0,1.0,1.0
161,tdeee,0.0,1.0,1.0
162,pulseproject,1.0,0.0,1.0
163,LIZandRA97,0.0,1.0,1.0
164,Frassington,0.0,1.0,1.0
165,JerushaV,0.0,1.0,1.0
166,xhicasey,0.0,1.0,1.0
167,sense_less,0.0,1.0,1.0
168,ipricillia,0.0,1.0,1.0
169,Priincess_C,1.0,0.0,1.0
170,bella1608,0.0,1.0,1.0
171,emerrrald,0.0,1.0,1.0
172,catenacci,1.0,0.0,1.0
173,DiaZerva,0.0,1.0,1.0
174,XxBedusseyxX,0.0,1.0,1.0
175,its_me_Miss_B,2.0,0.0,2.0
176,Kdeven,0.0,1.0,1.0
177,apeck11,0.0,1.0,1.0
178,shanut,0.0,1.0,1.0
179,Katherineie,1.0,0.0,1.0
180,lisainfantino,0.0,1.0,1.0
181,darrenporter,1.0,0.0,1.0
182,funtime7777,0.0,1.0,1.0
183,_jeremybaril,0.0,1.0,1.0
184,vamposh,1.0,0.0,1.0
185,Pittarelli,0.0,1.0,1.0
186,Candy73,1.0,2.0,3.0
187,sophiasalazar,1.0,0.0,1.0
188,SmallieBiggs,1.0,0.0,1.0
189,Crichton_Kicks,1.0,1.0,2.0
190,anca_foster,1.0,1.0,2.0
191,AnneeApple,1.0,0.0,1.0
192,RayTNartey,0.0,1.0,1.0
193,SCORPIO_DOLLY,0.0,1.0,1.0
194,trouble0106,1.0,0.0,1.0
195,kiraaxo,0.0,1.0,1.0
196,patriciaco,0.0,4.0,4.0
197,lucyb946,1.0,0.0,1.0
198,TweetyEve,1.0,0.0,1.0
199,musicjelly,0.0,1.0,1.0
200,anushree_venky,1.0,0.0,1.0
201,taraSG,0.0,1.0,1.0
202,KEITHREILLY69,0.0,1.0,1.0
203,ajstillings,1.0,0.0,1.0
204,CRulez,0.0,1.0,1.0
205,nessab04,1.0,0.0,1.0
206,stuartbogg,0.0,1.0,1.0
207,Manon_89,1.0,0.0,1.0
208,NGowers,2.0,0.0,2.0
209,catiams,2.0,0.0,2.0
210,mr_apollo,2.0,1.0,3.0
211,miggyblahblah08,1.0,1.0,2.0
212,littledags,0.0,1.0,1.0
213,mattzodiak,1.0,0.0,1.0
214,impluvium,0.0,1.0,1.0
215,passionate_rice,0.0,1.0,1.0
216,Jesuslover037,0.0,1.0,1.0
217,englishtom,1.0,0.0,1.0
218,sofiafigueiredo,1.0,0.0,1.0
219,VanceStudios,0.0,1.0,1.0
220,bootstrapper,0.0,1.0,1.0
221,oppositeofariot,1.0,0.0,1.0
222,silvrayn,0.0,1.0,1.0
223,toothfairycyber,1.0,0.0,1.0
224,ShafeenaAzly,1.0,0.0,1.0
225,CaSami007,1.0,0.0,1.0
226,aelmazaidi,0.0,1.0,1.0
227,TheRealAshleyyy,0.0,1.0,1.0
228,enamoredsoul,3.0,0.0,3.0
229,x33ieroNINJA,2.0,3.0,5.0
230,tjdsn,0.0,1.0,1.0
231,designminded,0.0,1.0,1.0
232,JillyO,0.0,1.0,1.0
233,barbershopboy,0.0,1.0,1.0
234,TheCrazyMango,0.0,1.0,1.0
235,baibaks,0.0,1.0,1.0
236,fridley,1.0,1.0,2.0
237,The_Librarian2,1.0,0.0,1.0
238,melaniestarship,0.0,1.0,1.0
239,DNiCESEOUL,1.0,2.0,3.0
240,bob88jrthe3rd03,1.0,0.0,1.0
241,Tatty,2.0,1.0,3.0
242,No1PanicFan,1.0,1.0,2.0
243,JaneSumner_,0.0,1.0,1.0
244,Ellypoo,0.0,1.0,1.0
245,FUHRANK,1.0,0.0,1.0
246,mcsleazy,1.0,0.0,1.0
247,zrehman,0.0,1.0,1.0
248,FxckVanity,1.0,0.0,1.0
249,andrewcamp,0.0,1.0,1.0
250,ddhp,0.0,1.0,1.0
251,keesitt,1.0,0.0,1.0
252,myOWNinsanity09,0.0,1.0,1.0
253,emilyburnett,1.0,1.0,2.0
254,SEOSEM,0.0,1.0,1.0
255,smalltown_girl,0.0,1.0,1.0
256,PickwickLemon,1.0,0.0,1.0
257,Bridget_the1,0.0,1.0,1.0
258,RedRainCreative,0.0,1.0,1.0
259,pattycapistrano,1.0,0.0,1.0
260,tweeteradder10,0.0,2.0,2.0
261,metacosm,1.0,0.0,1.0
262,sydneyaustin,0.0,1.0,1.0
263,dharshana,1.0,0.0,1.0
264,Rixix,1.0,0.0,1.0
265,webwoke,0.0,3.0,3.0
266,jkozuch,0.0,2.0,2.0
267,bn1511,0.0,2.0,2.0
268,eldriyal,0.0,1.0,1.0
269,sarahlay,1.0,0.0,1.0
270,maggie_ftw,1.0,0.0,1.0
271,Dlewis26,0.0,1.0,1.0
272,sofisticat,1.0,2.0,3.0
273,Robstarr,0.0,1.0,1.0
274,Curiosafmmb,0.0,2.0,2.0
275,MsMusiclover,0.0,1.0,1.0
276,denswriter,1.0,0.0,1.0
277,MishaTheMartian,1.0,0.0,1.0
278,shychan,1.0,0.0,1.0
279,jlonzo,1.0,0.0,1.0
280,samb2004,0.0,1.0,1.0
281,Kellosaurousrex,1.0,0.0,1.0
282,DollfaceShayy,0.0,1.0,1.0
283,johnrt01,0.0,1.0,1.0
284,Treagus,2.0,1.0,3.0
285,tracyjr,2.0,0.0,2.0
286,cutiepie1703,0.0,1.0,1.0
287,Rachenn,1.0,0.0,1.0
288,alanakirsty,1.0,0.0,1.0
289,Emmaloveshearts,0.0,1.0,1.0
290,RandallSan,0.0,1.0,1.0
291,XXEmmaTXX,0.0,1.0,1.0
292,Ealasaid,0.0,1.0,1.0
293,CollsMarie,0.0,1.0,1.0
294,ap_sexy,0.0,1.0,1.0
295,nancyxp,0.0,1.0,1.0
296,ilmEditor,1.0,0.0,1.0
297,Ines,0.0,1.0,1.0
298,JulesK_7,0.0,1.0,1.0
299,jmanas,0.0,1.0,1.0
300,DylanFan,0.0,1.0,1.0
301,teenzine,0.0,1.0,1.0
302,saltypear,0.0,1.0,1.0
303,smitsam,0.0,1.0,1.0
304,cprmom,1.0,0.0,1.0
305,elephox,0.0,1.0,1.0
306,Jo_Parker,1.0,0.0,1.0
307,2bincontrol,0.0,1.0,1.0
308,amy_l,0.0,1.0,1.0
309,hillarygayle,0.0,1.0,1.0
310,njdoc,0.0,1.0,1.0
311,niiccccdudex3,0.0,1.0,1.0
312,ChrisMillerJr,1.0,0.0,1.0
313,11Skyler11,0.0,1.0,1.0
314,BeccaLCook,1.0,0.0,1.0
315,flyingintodark,1.0,0.0,1.0
316,nanalipzz89,1.0,1.0,2.0
317,SongoftheOss,1.0,4.0,5.0
318,dhonline,0.0,1.0,1.0
319,likeMC,1.0,0.0,1.0
320,Agnie91,0.0,1.0,1.0
321,kalebnation,0.0,1.0,1.0
322,RaevenWestern,0.0,2.0,2.0
323,lifeontheedges,1.0,0.0,1.0
324,CatrionaKilbrid,0.0,1.0,1.0
325,b_b_b_a_r_t,1.0,0.0,1.0
326,privatestudmuff,1.0,1.0,2.0
327,Ms_Hip_Hop,0.0,1.0,1.0
328,mcolemansc,0.0,1.0,1.0
329,lyciabycia,1.0,0.0,1.0
330,mandybroussard,0.0,1.0,1.0
331,ffidler,1.0,0.0,1.0
332,entrup,1.0,0.0,1.0
333,triner,0.0,1.0,1.0
334,StarGrl85,0.0,1.0,1.0
335,ladyofsalzburg,1.0,1.0,2.0
336,VFCzGirlLykThat,0.0,1.0,1.0
337,starryeyedkidxo,0.0,1.0,1.0
338,_Lauren_Mallory,0.0,1.0,1.0
339,mcvane,0.0,1.0,1.0
340,feedthedinos,0.0,1.0,1.0
341,t_lee_b,0.0,1.0,1.0
342,puccilove,1.0,0.0,1.0
343,brittysunshinee,1.0,0.0,1.0
344,heyy_xx_allison,1.0,0.0,1.0
345,MichelleZen,0.0,1.0,1.0
346,purplefangs,2.0,0.0,2.0
347,RabbiShaiSpecht,0.0,1.0,1.0
348,MupNorth,1.0,1.0,2.0
349,ianuy,1.0,0.0,1.0
350,andy_lamb,0.0,1.0,1.0
351,technokitty,1.0,0.0,1.0
352,gezika,0.0,1.0,1.0
353,cargovro0m,0.0,1.0,1.0
354,keera0825,0.0,1.0,1.0
355,ryry234,0.0,1.0,1.0
356,ohitsdany,0.0,1.0,1.0
357,siansburys,0.0,1.0,1.0
358,vanessatx,0.0,1.0,1.0
359,nataliepetit,1.0,0.0,1.0
360,christinegomes,1.0,0.0,1.0
361,Tammi_LA,0.0,1.0,1.0
362,Mannis1,1.0,0.0,1.0
363,drejo,0.0,1.0,1.0
364,PrettyPrats,1.0,0.0,1.0
365,Djalfy,2.0,1.0,3.0
366,juliaritchie,0.0,1.0,1.0
367,IamAmelieP,0.0,1.0,1.0
368,outrage_designs,1.0,0.0,1.0
369,xcreativexsoulx,0.0,1.0,1.0
370,Jenniechang,0.0,1.0,1.0
371,ZpoonZ,1.0,0.0,1.0
372,beet09,0.0,1.0,1.0
373,ernestcustodio,1.0,0.0,1.0
374,KayPriceless,1.0,0.0,1.0
375,Taelahf,1.0,0.0,1.0
376,FiestyBluEyes,1.0,0.0,1.0
377,endlessblush,1.0,1.0,2.0
378,amykate,2.0,1.0,3.0
379,EmzShezComics,1.0,0.0,1.0
380,maccamcb,1.0,0.0,1.0
381,florist,0.0,1.0,1.0
382,jansonlee,0.0,1.0,1.0
383,nadiachen,0.0,1.0,1.0
384,Osiris292,0.0,1.0,1.0
385,MrToddie,1.0,0.0,1.0
386,kritKrew,0.0,1.0,1.0
387,jessica_butler,0.0,1.0,1.0
388,jorgepinon,0.0,1.0,1.0
389,monstermashrna,1.0,0.0,1.0
390,soulculture,1.0,0.0,1.0
391,Lila158,1.0,0.0,1.0
392,JadelynS,0.0,1.0,1.0
393,bryanrieger,2.0,0.0,2.0
394,mike868y,1.0,0.0,1.0
395,cidermaker,1.0,0.0,1.0
396,Hargarmoopy,1.0,0.0,1.0
397,Andjelija,0.0,1.0,1.0
398,anilalur,1.0,0.0,1.0
399,Zerotolove,1.0,0.0,1.0
400,adityarao310,0.0,1.0,1.0
401,Soraaaa,0.0,1.0,1.0
402,janaspyjamas,1.0,0.0,1.0
403,Drakknar,0.0,1.0,1.0
404,passionsista,0.0,2.0,2.0
405,bluureindrops,1.0,0.0,1.0
406,pikopoki,0.0,1.0,1.0
407,lola_princess,1.0,0.0,1.0
408,lelu46,1.0,0.0,1.0
409,MagicMileyCyrus,1.0,2.0,3.0
410,Sbaby82,0.0,1.0,1.0
411,Erinmack,0.0,1.0,1.0
412,DiscoverNicole,0.0,2.0,2.0
413,bim1214,0.0,1.0,1.0
414,Leishkin,0.0,1.0,1.0
415,joleen_kaulitz,0.0,1.0,1.0
416,DanellD,0.0,1.0,1.0
417,grahamelliot,0.0,1.0,1.0
418,gabizitcha,0.0,1.0,1.0
419,jbcitygirl,1.0,0.0,1.0
420,SamuelHK,0.0,1.0,1.0
421,rafaronconi,0.0,1.0,1.0
422,girlj67,1.0,1.0,2.0
423,Nordstromstl,0.0,2.0,2.0
424,ronsimon,1.0,0.0,1.0
425,GeorginaMeehan,1.0,0.0,1.0
426,walkalongwithme,0.0,1.0,1.0
427,yolandagrace,1.0,0.0,1.0
428,Maddiiechan,1.0,0.0,1.0
429,shellykramer,0.0,1.0,1.0
430,LagunaHo,1.0,0.0,1.0
431,schmanders11,0.0,1.0,1.0
432,LifeModified,1.0,0.0,1.0
433,AnnieC1,1.0,0.0,1.0
434,SparkleAndSpunk,0.0,2.0,2.0
435,jsuplido,0.0,1.0,1.0
436,beyoncerockzz,0.0,2.0,2.0
437,iceangel429,0.0,1.0,1.0
438,waffles93,1.0,0.0,1.0
439,scottfaithfull,1.0,2.0,3.0
440,mdwillbefamous,1.0,0.0,1.0
441,barkingsheltie,0.0,1.0,1.0
442,manishsinha,1.0,0.0,1.0
443,jehzlau,1.0,0.0,1.0
444,blondiegal397,0.0,1.0,1.0
445,StefneLouisex,1.0,0.0,1.0
446,viveksingh,2.0,0.0,2.0
447,alethe,1.0,0.0,1.0
448,TrondheimTravel,2.0,0.0,2.0
449,joshua_fox,1.0,0.0,1.0
450,LolKate18,1.0,0.0,1.0
451,Ste1987,0.0,3.0,3.0
452,waggleroomgolf,0.0,1.0,1.0
453,GatheringMagic,0.0,1.0,1.0
454,SavannahKayy,0.0,1.0,1.0
455,SuzannaFrance,1.0,0.0,1.0
456,Tanya_xO,2.0,2.0,4.0
457,kayleighwoah,0.0,1.0,1.0
458,missgiggly,2.0,0.0,2.0
459,kennygo,0.0,1.0,1.0
460,annavaganza,1.0,0.0,1.0
461,flamestone,0.0,1.0,1.0
462,saharlestrange,0.0,1.0,1.0
463,david973,0.0,1.0,1.0
464,dirtystopout,0.0,1.0,1.0
465,pikchrpfct,1.0,0.0,1.0
466,undressjess,0.0,1.0,1.0
467,wulfbane,1.0,0.0,1.0
468,beardsandjuice,0.0,1.0,1.0
469,leannalovespatd,0.0,1.0,1.0
470,Lulustress,0.0,1.0,1.0
471,lozinja_670,1.0,0.0,1.0
472,isleschick,0.0,1.0,1.0
473,RobBothan,1.0,0.0,1.0
474,AichaKouyate,0.0,1.0,1.0
475,Gacco,0.0,1.0,1.0
476,jesskry,1.0,0.0,1.0
477,PartyCrashess,1.0,0.0,1.0
478,KevinCole509,0.0,1.0,1.0
479,thongar,1.0,1.0,2.0
480,anthonyrojas,1.0,0.0,1.0
481,sarahbrookee,1.0,0.0,1.0
482,sarahkrueger,0.0,1.0,1.0
483,karuna_ramesh,0.0,1.0,1.0
484,LucasSchmitt,0.0,1.0,1.0
485,essentialU,0.0,1.0,1.0
486,b5andjbluva,0.0,1.0,1.0
487,HansRuinemans,1.0,0.0,1.0
488,Dr_Jared,2.0,0.0,2.0
489,Abieee,1.0,0.0,1.0
490,datboyYo,0.0,1.0,1.0
491,BetterLucky,1.0,0.0,1.0
492,scotsmanstuart,0.0,1.0,1.0
493,nomadmtb,1.0,0.0,1.0
494,adhill,0.0,1.0,1.0
495,ugaled,0.0,1.0,1.0
496,Lozxx,0.0,1.0,1.0
497,daviccy,0.0,1.0,1.0
498,ash_16,1.0,0.0,1.0
499,Pale_Jewel,0.0,1.0,1.0
500,GlitzNGlamourD,0.0,1.0,1.0
501,guardian_renata,2.0,0.0,2.0
502,LenaAlli,1.0,0.0,1.0
503,Vashti25,0.0,1.0,1.0
504,Davidwalsh16,1.0,0.0,1.0
505,CindyGarrett,0.0,1.0,1.0
506,angilio,0.0,1.0,1.0
507,spgreenlaw,0.0,1.0,1.0
508,KarinaRain,1.0,0.0,1.0
509,godivazmommy,0.0,1.0,1.0
510,kmatthews,0.0,1.0,1.0
511,HollyW87,1.0,0.0,1.0
512,justPeanutty,0.0,1.0,1.0
513,twashley,0.0,1.0,1.0
514,SharonMcP,0.0,1.0,1.0
515,erikaleigh8,0.0,1.0,1.0
516,vactress,0.0,1.0,1.0
517,aGGili,0.0,1.0,1.0
518,rtrademark,0.0,1.0,1.0
519,jacques_tee69,0.0,1.0,1.0
520,dianasofiia,0.0,1.0,1.0
521,InsideDVF,0.0,1.0,1.0
522,andrewsmhay,0.0,1.0,1.0
523,kiljaeden12,0.0,1.0,1.0
524,bubberbrain620,0.0,1.0,1.0
525,AbbieFletcher_,0.0,1.0,1.0
526,perspectiveye,0.0,1.0,1.0
527,keza34,6.0,2.0,8.0
528,mile3177,1.0,0.0,1.0
529,valbuzeta,0.0,1.0,1.0
530,DawnMarieLentz,0.0,1.0,1.0
531,DEIRYLLEEE,0.0,1.0,1.0
532,ldbg25,0.0,1.0,1.0
533,Mirna023,2.0,1.0,3.0
534,peter_betos,1.0,0.0,1.0
535,shosho1,0.0,1.0,1.0
536,Thomasasz,1.0,0.0,1.0
537,chordsontheline,1.0,0.0,1.0
538,tonfue,0.0,2.0,2.0
539,theartofdance,0.0,1.0,1.0
540,WTFJAY,1.0,1.0,2.0
541,blah_blah_86,2.0,0.0,2.0
542,Robert_me,0.0,1.0,1.0
543,tweeteradder1,1.0,3.0,4.0
544,XoXo_disorder,0.0,1.0,1.0
545,StregaLilly,0.0,1.0,1.0
546,fluffyclouds111,1.0,0.0,1.0
547,Grynch206,0.0,1.0,1.0
548,mexicanwoman,0.0,1.0,1.0
549,SerenaKat,1.0,0.0,1.0
550,Greg_Collins,0.0,1.0,1.0
551,Gracelisa,1.0,0.0,1.0
552,HannuhBlanco,0.0,1.0,1.0
553,marykstevens,1.0,0.0,1.0
554,charlesstinger,1.0,0.0,1.0
555,kiwiberry,0.0,1.0,1.0
556,inchwormstudio,0.0,1.0,1.0
557,HoomanVP,0.0,1.0,1.0
558,mayapeep,0.0,1.0,1.0
559,TinyPicTweets,2.0,0.0,2.0
560,jbfanforever94,1.0,0.0,1.0
561,KaelaIsSoFly,0.0,1.0,1.0
562,ajizzlehyphy24,0.0,1.0,1.0
563,ChalsiEspiritu,1.0,0.0,1.0
564,jamesh_1993,0.0,1.0,1.0
565,xoTUSHYxo,1.0,0.0,1.0
566,toriilovesmcfly,1.0,0.0,1.0
567,FreedomFreedom,0.0,1.0,1.0
568,Cynthia2478,0.0,1.0,1.0
569,MyNameIsSmooth,1.0,0.0,1.0
570,Supercoolmary,0.0,1.0,1.0
571,katelynjayy,0.0,1.0,1.0
572,maddie_d,1.0,0.0,1.0
573,iyli,1.0,0.0,1.0
574,greenfee,1.0,0.0,1.0
575,AvantGardeJay,0.0,1.0,1.0
576,paulhatzi,1.0,0.0,1.0
577,AlliHarron,1.0,0.0,1.0
578,iamloz_JsPR,2.0,1.0,3.0
579,jonnyvelarde,1.0,0.0,1.0
580,missmelanie1980,1.0,0.0,1.0
581,papadimitriou,1.0,0.0,1.0
582,redleg64,0.0,1.0,1.0
583,atulkarmarkar,1.0,0.0,1.0
584,carmence,0.0,1.0,1.0
585,xomalesee,0.0,1.0,1.0
586,nisaqila,1.0,0.0,1.0
587,oneminutewager,0.0,1.0,1.0
588,cassythebandit,0.0,1.0,1.0
589,Lexi_bell,0.0,1.0,1.0
590,xoCAZZA,1.0,0.0,1.0
591,saesneg,1.0,0.0,1.0
592,imogen_kate,1.0,0.0,1.0
593,artificialxgirl,0.0,1.0,1.0
594,vickytownsend,0.0,1.0,1.0
595,Salunya,1.0,0.0,1.0
596,rubylovesjordan,0.0,1.0,1.0
597,azimsafwan,1.0,0.0,1.0
598,julia303,1.0,0.0,1.0
599,omegatron,1.0,1.0,2.0
600,_Maral,0.0,1.0,1.0
601,huntress07,1.0,1.0,2.0
602,erinlinnea,1.0,0.0,1.0
603,chyoun,0.0,1.0,1.0
604,JustRosalie,2.0,0.0,2.0
605,camdana_cole,0.0,1.0,1.0
606,Pearl,1.0,0.0,1.0
607,patcon0406,1.0,0.0,1.0
608,tori_is_here,0.0,1.0,1.0
609,repapipz_cutie,1.0,0.0,1.0
610,J4Yx2,0.0,1.0,1.0
611,mittensgizmo101,1.0,0.0,1.0
612,CRYSTALLLLLLLL,0.0,1.0,1.0
613,srose2go,0.0,1.0,1.0
614,bunnyears,0.0,1.0,1.0
615,vayerman,1.0,0.0,1.0
616,nastyposition,0.0,1.0,1.0
617,kevinlegaspi,1.0,0.0,1.0
618,melissa_atlanta,0.0,1.0,1.0
619,papi3336,0.0,1.0,1.0
620,Kernnn,1.0,0.0,1.0
621,Pattyf29,1.0,0.0,1.0
622,clarisseolviga,0.0,2.0,2.0
623,LoRdSyN,0.0,3.0,3.0
624,poojakashyap,2.0,0.0,2.0
625,oldskool90,1.0,1.0,2.0
626,shelby_says,0.0,2.0,2.0
627,mykeealvero,0.0,1.0,1.0
628,jhoanne23,1.0,0.0,1.0
629,Kajitsu,0.0,1.0,1.0
630,JChoice1908,0.0,1.0,1.0
631,SteppinOutTonit,1.0,0.0,1.0
632,my2gs,0.0,1.0,1.0
633,SarahSaner,2.0,0.0,2.0
634,clarissaboo,0.0,1.0,1.0
635,Chinkyeyesz,1.0,0.0,1.0
636,zx10r07,1.0,0.0,1.0
637,Ellabellaa,1.0,0.0,1.0
638,kaancornelio,1.0,0.0,1.0
639,nicolalalalala,1.0,0.0,1.0
640,noemimartinez,0.0,1.0,1.0
641,twitwithwhit,1.0,0.0,1.0
642,MomofFaith,0.0,1.0,1.0
643,tiffcarpenter,0.0,1.0,1.0
644,sshorex,0.0,1.0,1.0
645,creaturecomfort,0.0,1.0,1.0
646,HeyCameron,0.0,1.0,1.0
647,ItsVickyO,0.0,1.0,1.0
648,journeytolearn,1.0,0.0,1.0
649,ohsnapattack,1.0,0.0,1.0
650,melaniemprados,0.0,1.0,1.0
651,xtribx,0.0,1.0,1.0
652,BrianBootyCall,0.0,1.0,1.0
653,lffb,0.0,1.0,1.0
654,music_flurry,1.0,0.0,1.0
655,peerlessdeepak,0.0,1.0,1.0
656,amalinaaa,1.0,1.0,2.0
657,Heaatherrr,1.0,1.0,2.0
658,gokoro_pl,1.0,0.0,1.0
659,ahmier,2.0,0.0,2.0
660,Kelsvball,0.0,1.0,1.0
661,nicolewick,0.0,2.0,2.0
662,mawilms,0.0,1.0,1.0
663,embrownny,0.0,1.0,1.0
